id,user_name,type_sort,mode_sort,len_vector,time_execute,count_compare,count_moves,time_start
0,aline,SelectionSort,Arranjos Ordenados (ASC),100,0.0026759109999998643,4950,297,1.13519355
1,aline,SelectionSort,Arranjos Ordenados (ASC),10,7.010900000015141e-05,45,27,1.134771858
2,aline,SelectionSort,Arranjos Ordenados (DESC),100,0.0006259270000001926,4950,297,1.229181269
3,aline,SelectionSort,Arranjos Quase Ordenados (1),100,0.0006825480000001161,4950,297,1.820127922
4,aline,SelectionSort,Arranjos Ordenados (ASC),1000,0.9260089059999999,499500,2997,1.138276486
5,aline,SelectionSort,Arranjos Desordenados,10,2.3434000000044364e-05,45,27,2.760537722
6,aline,SelectionSort,Arranjos Ordenados (DESC),10,6.513299999966193e-05,45,27,2.359929896
7,aline,SelectionSort,Arranjos Quase Ordenados (2),1000,0.6156379079999998,499500,2997,1.991353388
8,aline,SelectionSort,Arranjos Quase Ordenados (2),10,1.61909999998322e-05,45,27,2.064376304
9,aline,SelectionSort,Arranjos Desordenados,100,0.0005870349999999025,4950,297,1.279458809
10,aline,SelectionSort,Arranjos Desordenados,1000,0.637358168,499500,2997,2.344047158
11,aline,SelectionSort,Arranjos Quase Ordenados (2),100,0.0008370630000000823,4950,297,2.853808534
12,aline,SelectionSort,Arranjos Quase Ordenados (1),1000,0.6096656100000002,499500,2997,1.975783691
13,aline,SelectionSort,Arranjos Ordenados (DESC),1000,0.4162752219999999,499500,2997,3.040976862
14,aline,SelectionSort,Arranjos Quase Ordenados (1),10,3.602800000024331e-05,45,27,2.412255729
15,aline,SelectionSort,Arranjos Quase Ordenados (1),10000,77.58938328400001,49995000,29997,3.333868802
16,aline,SelectionSort,Arranjos Quase Ordenados (2),10000,86.581099536,49995000,29997,2.172231661
17,aline,SelectionSort,Arranjos Ordenados (DESC),10000,89.830975443,49995000,29997,2.516664068
18,aline,SelectionSort,Arranjos Desordenados,10000,93.02739674,49995000,29997,1.294882505
19,aline,SelectionSort,Arranjos Ordenados (ASC),10000,94.26594564199999,49995000,29997,1.143707035
20,aline,SelectionSort,Arranjos Ordenados (DESC),100000,4826.789300661,4999950000,299997,1.315772176
21,aline,SelectionSort,Arranjos Quase Ordenados (1),100000,4831.449286106999,4999950000,299997,2.744893005
22,aline,SelectionSort,Arranjos Quase Ordenados (2),100000,4840.1951472969995,4999950000,299997,6.13022935
23,aline,SelectionSort,Arranjos Ordenados (ASC),100000,4859.177631668999,4999950000,299997,1.159298139
24,aline,SelectionSort,Arranjos Desordenados,100000,4959.489187879,4999950000,299997,1.939650056
0,aline,InsertionSort,Arranjos Ordenados (ASC),1000,0.001573983000000112,999,1998,1.135930234
1,aline,InsertionSort,Arranjos Ordenados (ASC),100,6.165299999993934e-05,99,198,1.150655695
2,aline,InsertionSort,Arranjos Desordenados,100,0.0014958359999999171,99,2819,1.137625652
3,aline,InsertionSort,Arranjos Ordenados (DESC),10,5.4580000000026274e-05,9,63,1.216474373
4,aline,InsertionSort,Arranjos Ordenados (ASC),10,5.197299999992744e-05,9,18,1.135528767
5,aline,InsertionSort,Arranjos Desordenados,1000,0.09006512600000005,999,250497,1.139341181
6,aline,InsertionSort,Arranjos Quase Ordenados (1),10,1.072899999998711e-05,9,27,1.229502625
7,aline,InsertionSort,Arranjos Ordenados (ASC),10000,0.004905123999999983,9999,19998,1.367083506
8,aline,InsertionSort,Arranjos Desordenados,10,1.5233000000058894e-05,9,41,1.172073169
9,aline,InsertionSort,Arranjos Quase Ordenados (1),10000,0.013501668000000189,9999,37989,1.849039239
10,aline,InsertionSort,Arranjos Quase Ordenados (1),1000,0.0012908619999998372,999,3789,2.588825093
11,aline,InsertionSort,Arranjos Quase Ordenados (2),1000,0.0014528919999996504,999,7681,3.202603916
12,aline,InsertionSort,Arranjos Ordenados (ASC),100000,0.07745267700000014,99999,199998,1.206088503
13,aline,InsertionSort,Arranjos Quase Ordenados (2),100000,1.3690400689999995,99999,771631,2.761303541
14,aline,InsertionSort,Arranjos Quase Ordenados (2),100,0.00017582399999982457,99,736,3.827610228
15,aline,InsertionSort,Arranjos Quase Ordenados (2),10000,0.0956189709999995,9999,77131,4.790665308
16,aline,InsertionSort,Arranjos Ordenados (DESC),1000,0.9838031880000004,999,501498,4.15708001
17,aline,InsertionSort,Arranjos Ordenados (DESC),100,0.0008561220000000702,99,5148,4.884496582
18,aline,InsertionSort,Arranjos Quase Ordenados (1),100000,0.4872245390000005,99999,379989,4.515193403
19,aline,InsertionSort,Arranjos Quase Ordenados (2),10,2.155900000033739e-05,9,46,5.065372172
20,aline,InsertionSort,Arranjos Quase Ordenados (1),100,0.0001530130000002572,99,369,4.141062541
21,aline,InsertionSort,Arranjos Desordenados,10000,28.819249868999997,9999,24782559,1.190333076
22,aline,InsertionSort,Arranjos Ordenados (DESC),10000,51.866719386,9999,50014998,1.786971898
23,aline,InsertionSort,Arranjos Desordenados,100000,1528.845891339,99999,2498636573,2.735317053
24,aline,InsertionSort,Arranjos Ordenados (DESC),100000,2008.067313785,99999,5000149998,1.283963536
0,aline,BubbleSort,Arranjos Ordenados (ASC),10,7.390699999998418e-05,9,0,1.362735886
1,aline,BubbleSort,Arranjos Desordenados,10,8.655000000001856e-05,90,60,1.364044943
2,aline,BubbleSort,Arranjos Ordenados (ASC),100,3.367199999981807e-05,99,0,1.364326375
3,aline,BubbleSort,Arranjos Desordenados,100,0.0017589849999999352,9900,8868,1.391989878
4,aline,BubbleSort,Arranjos Ordenados (DESC),100,0.002355046999999999,9900,14850,1.491282463
5,aline,BubbleSort,Arranjos Ordenados (ASC),1000,0.00021373500000021473,999,0,1.363765059
6,aline,BubbleSort,Arranjos Desordenados,1000,0.502852713,999000,759597,1.381586473
7,aline,BubbleSort,Arranjos Ordenados (DESC),10,6.696399999994718e-05,90,135,1.595207626
8,aline,BubbleSort,Arranjos Quase Ordenados (1),100,0.0014667349999997192,9900,513,3.37892574
9,aline,BubbleSort,Arranjos Quase Ordenados (1),10,4.178000000010229e-05,90,27,2.535788303
10,aline,BubbleSort,Arranjos Quase Ordenados (2),1000,1.5522714970000002,999000,17049,1.967986048
11,aline,BubbleSort,Arranjos Quase Ordenados (2),10,7.113399999991721e-05,90,84,1.620950552
12,aline,BubbleSort,Arranjos Quase Ordenados (2),100,0.0014204349999999977,9900,1614,1.698675313
13,aline,BubbleSort,Arranjos Quase Ordenados (1),1000,4.216198112000001,999000,5373,3.368482121
14,aline,BubbleSort,Arranjos Ordenados (ASC),10000,0.004744933999999867,9999,0,1.35766315
15,aline,BubbleSort,Arranjos Ordenados (ASC),100000,0.01711908399999995,99999,0,1.364424858
16,aline,BubbleSort,Arranjos Ordenados (DESC),1000,4.620450488,999000,1498500,3.005314985
